recordId,merchantId,merchantName,network,mainCategory,subCategory,mainCategoryCn,subCategoryCn,mainCategoryBsr,subcategoryBsr,asin
"rec27wXzrFpNp3","362805","TP-Link | Tapo","Levanta","Electronics","Computer Routers","电子","智能家居 / 网络设备","","1","B0CN8QLS4K"
"rec27wXzrFpSl7","382170","Coterie","Wayward","Baby","Diapers & Wipes","母婴","尿布与湿巾","","",""
"rec27wXzrFpTxB","363257","Olight® Direct","Levanta","Tools & Home Improvement","Handheld Flashlights","工具与家装","手电筒","","",""
"rec27wXzrFpZi4","380938","Brondell","Levanta","Tools & Home Improvement","Bathroom Fixtures","工具与家装","卫浴洁具","","",""
"rec27wXzrFq1yF","362343","Lefant","Levanta","Home & Kitchen","Robotic Vacuums","家居","扫地机器人","","",""
"rec27wXzrFpKGP","369290","Our Place","Levanta","Kitchen & Dining","Toaster Ovens","家居","厨具餐具/小家电","321","1","B0CLTKGWQX"
"rec27wXzrFpM8m","382289","DREAME","Wayward","Home & Kitchen","Robotic Vacuums","智能家居/户外设备","清洁电器","","7",""
"rec27wXzrFpNPy","363300","Fellow Industries Inc.","Levanta","Home & Kitchen","Burr Coffee Grinders","家居","咖啡器具/厨房小电","","17",""
"rec27wXzrFpOg3","362559","iGarden","Levanta","Patio, Lawn & Garden","Pool & Spa","庭院 / 草坪 / 花园","泳池与水疗用品","","",""
"rec27wXzrFpTCM","362674","Novilla","Levanta","Home & Kitchen","Mattresses","家居","床垫","585","5","B083YXZP19"
"rec27wXzrFpVEE","363327","Seed Health Inc","Levanta","Health & Household","Probiotics","健康家居","益生菌","","","B0CMJR4XGR"
"rec27wXzrFpWyz","362385","LAFCO","Levanta","Home & Kitchen","Candles","家居","蜡烛","","",""
"rec27wXzrFpKXj","383772","Roborock","Wayward","Home & Kitchen","Robotic Vacuums","家居","智能清洁电器","","3",""
"rec27wXzrFpOYu","378620","JasionBike","Levanta","Sports & Outdoors","Adult Electric Bicycles","运动户外","电动自行车","","6","B0FXGTNPL7"
"rec27wXzrFpQ68","363503","Luna Bean","Levanta","Arts, Crafts & Sewing","Sculpture Molding & Casting Products","手工","DIY 纪念产品","105","1","B01E4LWBLQ"
"rec27wXzrFpQSi","364290","CATLINK","Archer","Pet Supplies","Self-Cleaning Cat Litter Boxes","宠物用品","智能猫用品","","14",""
"rec27wXzrFpSar","363508","Wellah","Levanta","Beauty & Personal Care","Creatine Nutritional Supplements","个护美妆","护发用品","","20",""
"rec27wXzrFpSLC","380545","PurSteam","Levanta","Home & Kitchen","Irons","家居","清洁工具","","7","B077S6KQ88"
"rec27wXzrFpVL7","363153","EGOHOME by MLILY","Levanta","Home & Kitchen","Mattresses","家居","床垫","","",""
"rec27wXzrFpXVp","380713","Audioengine LLC","Levanta","Electronics","Home Audio","电子","家庭音频","","",""
"rec27wXzrFpLos","363260","Max & Lily Kid's Furniture","Levanta","Home & Kitchen","Kids' Bed Frames & Headboards","家居","儿童家具","1305701","6","B08KTPFXGJ"
"rec27wXzrFpOle","368938","iRestore","Archer","Beauty & Personal Care","Hair Regrowth Devices","个护美妆","生发护理","","5",""
"rec27wXzrFpOMH","362448","Midland Radio","Levanta","Electronics","Weather Radios","电子","通讯设备","","2",""
"rec27wXzrFpP3P","380770","Babysense","Levanta","Baby","Baby Monitors","母婴","婴儿监视器","","",""
"rec27wXzrFpPF9","362911","PLAUD AI","Levanta","Electronics","Digital Voice Recorders","电子","智能音频","1501","10",""
"rec27wXzrFpYwz","363040","Sunco Lighting","Levanta","Tools & Home Improvement","Lighting","工具与家装","照明","","",""
"rec27wXzrFq0wl","384440","wirsh","Wayward","Home & Kitchen","Coffee Machines","家居","咖啡机","","",""
